,Job_Title,Company,Location,Level,Type,Function,Industry
151,Business Analyst,ARISE IIP,"Gurugram, Haryana, India",Associate,Research and Analyst,Full-time,"Market Research, Food and Beverage Manufacturing, and Manufacturing"
152,Data Scientist,Lowe's India,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,Retail
153,Manager - Data Analysis & Testing,Gegadyne Energy,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,"Technology, Information and Internet"
154,Data Scientist,Aplazo,"Bengaluru, Karnataka, India",Entry level,"Information Technology, Analyst, and Engineering",Full-time,"Banking, Financial Services, and Accounting"
155,Data Scientist,Celebal Technologies,Greater Bengaluru Area,Mid-Senior level,Consulting and Information Technology,Full-time,IT Services and IT Consulting
156,Lead Data Scientist,Piramal Capital & Housing Finance Limited,"Bengaluru, Karnataka, India",Mid-Senior level,"Information Technology, Analyst, and Engineering",Full-time,"Banking, Financial Services, and Accounting"
157,"Senior Business Analyst (Full Time, Remote)",Hike,"Delhi, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,"Technology, Information and Internet"
158,Data Analyst,LP Infotech,"Sahibzada Ajit Singh Nagar, Punjab, India",Entry level,Information Technology,Full-time,Software Development
159,Data Management Associate,World Health Organization,"Delhi, Delhi, India",Mid-Senior level,Information Technology,Full-time,International Affairs
160,Data Tester,Creditsafe Technology,"Hyderabad, Telangana, India",Mid-Senior level,Information Technology and Business Development,Full-time,IT Services and IT Consulting
161,Bundeli Transcribers (Remote),Sigma AI,"Barhait, Jharkhand, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
162,Project Coordinaor,Isha Foundation,"Coimbatore, Tamil Nadu, India",Associate,Administrative,Full-time,Non-profit Organizations
163,,,,,,,
164,Data Engineer- Need Immediate Joiner,Numaware Technologies Private Limited,"Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Staffing and Recruiting
165,Data Entry Operator/Computer Operator,Motion Advertising Services,"Delhi, Delhi, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
166,Manager Business Analyst,Tata 1mg,"Gurugram, Haryana, India",Mid-Senior level,Analyst,Full-time,Internet Marketplace Platforms
167,Data Analyst-2,Games24x7,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Computer Games
168,Supply Chain Analyst,IPS,"Bangalore Urban, Karnataka, India",Mid-Senior level,Analyst,Full-time,Manufacturing
169,,,,,,,
170,Retail Area Manager,GIVA,"Delhi, India",Mid-Senior level,Business Development,Full-time,Retail and Retail Luxury Goods and Jewelry
171,,,,,,,
172,Data Analyst,WeAddo,"Haryana, India",Mid-Senior level,Analyst,Full-time,"Technology, Information and Media"
173,,,,,,,
174,Business Intelligence Analyst,Parle Agro Pvt Ltd,Mumbai Metropolitan Region,Associate,"Information Technology, Analyst, and Manufacturing",Full-time,"Food and Beverage Services, Retail, and Pharmaceutical Manufacturing"
175,DATA Scrum Master,NuStar Technologies,Pune/Pimpri-Chinchwad Area,Mid-Senior level,Engineering and Information Technology,Full-time,Information Technology & Services
