,Job_Title,Company,Location,Level,Type,Function,Industry
426,Technical Architect - Data Modelling- Need Immediate Joiner,Numaware Technologies Private Limited,Pune/Pimpri-Chinchwad Area,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting
427,Data Scientist,Sanofi,"Hyderabad, Telangana, India",Mid-Senior level,Engineering and Information Technology,Full-time,"Chemical Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing"
428,Data Scientist,Acuity Knowledge Partners,"Gurugram, Haryana, India",Associate,"Engineering, Finance, and Information Technology",Full-time,"Software Development, Financial Services, and Investment Banking"
429,Data Scientist,Clearwater Analytics,"Noida, Uttar Pradesh, India",Entry level,Engineering and Information Technology,Full-time,Software Development
430,Data Analyst,ICE,"Hyderabad, Telangana, India",Not Applicable,"General Business, Information Technology, and Engineering",Full-time,Financial Services
431,"Account Director (Enterprise Solutions Group), LinkedIn Marketing Solutions",LinkedIn,"Mumbai, Maharashtra, India",Not Applicable,Sales,Full-time,"Technology, Information and Internet"
432,Data Scientist,IGP,"Mumbai, Maharashtra, India",Associate,Information Technology,Full-time,Retail
433,Digital-Device Data Scientist,Novartis,"Hyderabad, Telangana, India",Mid-Senior level,"Science, Analyst, and Consulting",Full-time,Hospitals and Health Care and Pharmaceutical Manufacturing
434,Director - Modeling and Meta-Analysis,OPEN Health,"Mumbai, Maharashtra, India",Director,Consulting,Full-time,"Technology, Information and Internet"
435,"Director, IT",Atrium,"Jaipur, Rajasthan, India",Director,Information Technology,Full-time,IT Services and IT Consulting
436,Consultant- Omnichannel Analytics,vivenu,"Pune, Maharashtra, India",Not Applicable,"Research, Analyst, and Information Technology",Full-time,Events Services
437,Assistant Manager - Warehouse operations (Packing),SUGAR Cosmetics,"Bhiwandi, Maharashtra, India",Associate,Management and Manufacturing,Full-time,Personal Care Product Manufacturing
438,Growth Marketing and Ops Internship,Hevo Data,"Bengaluru, Karnataka, India",Internship,Marketing and General Business,Internship,IT Services and IT Consulting and Software Development
439,"Data Analyst, Compliance Surveillance",Standard Chartered,"Bangalore Rural, Karnataka, India",Entry level,Information Technology,Full-time,Banking
440,Data Analyst,Orbit & Skyline,"Mohali district, Punjab, India",Associate,Analyst,Full-time,Semiconductor Manufacturing
441,Director - Data & Analytics,"GSPANN Technologies, Inc","Hyderabad, Telangana, India",Director,Engineering,Full-time,IT Services and IT Consulting
442,Data Scientist (3-6 years),codvo.ai,"Pune, Maharashtra, India",Entry level,Engineering,Full-time,IT Services and IT Consulting
443,FinOps Analyst (Remote),nurdsoft,India,Mid-Senior level,Finance and Sales,Contract,Internet Publishing
444,Data Specialist,Endpoint Clinical,"Hyderabad, Telangana, India",Entry level,Information Technology,Full-time,Pharmaceutical Manufacturing
445,Senior Business Analyst (Data & Business Intelligence),Caidya,India,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Research Services and Biotechnology Research
446,Python Developer,Saaswika Solutions Private Limited,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Contract,IT Services and IT Consulting
447,Analytics Specialist,Razorpay,"Bangalore Urban, Karnataka, India",Associate,Analyst,Full-time,Financial Services
448,Sr Team Lead - Analytics,ProcDNA,"Gurugram, Haryana, India",Mid-Senior level,"Consulting, Strategy/Planning, and Analyst",Full-time,Business Consulting and Services
449,Accountant,Vishal Pipes Limited,"Delhi, Delhi, India",Associate,Accounting/Auditing,Full-time,Manufacturing
450,Director Data Engineering,Walmart,"Bangalore Urban, Karnataka, India",Director,Engineering and Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage and Retail"
451,Key Accounts Manager,Zomato,"Noida, Uttar Pradesh, India",Entry level,Sales and Business Development,Full-time,"Technology, Information and Internet"
452,Data Analyst,Orbit & Skyline,"Mohali district, Punjab, India",Associate,Analyst,Full-time,Semiconductor Manufacturing
453,Director - Data & Analytics,"GSPANN Technologies, Inc","Hyderabad, Telangana, India",Director,Engineering,Full-time,IT Services and IT Consulting
454,Data Scientist (3-6 years),codvo.ai,"Pune, Maharashtra, India",Entry level,Engineering,Full-time,IT Services and IT Consulting
455,FinOps Analyst (Remote),nurdsoft,India,Mid-Senior level,Finance and Sales,Contract,Internet Publishing
456,Data Specialist,Endpoint Clinical,"Hyderabad, Telangana, India",Entry level,Information Technology,Full-time,Pharmaceutical Manufacturing
457,Senior Business Analyst (Data & Business Intelligence),Caidya,India,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Research Services and Biotechnology Research
458,Python Developer,Saaswika Solutions Private Limited,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Contract,IT Services and IT Consulting
459,Sr Team Lead - Analytics,ProcDNA,"Gurugram, Haryana, India",Mid-Senior level,"Consulting, Strategy/Planning, and Analyst",Full-time,Business Consulting and Services
460,Accountant,Vishal Pipes Limited,"Delhi, Delhi, India",Associate,Accounting/Auditing,Full-time,Manufacturing
461,Director Data Engineering,Walmart,"Bangalore Urban, Karnataka, India",Director,Engineering and Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage and Retail"
462,Key Accounts Manager,Zomato,"Noida, Uttar Pradesh, India",Entry level,Sales and Business Development,Full-time,"Technology, Information and Internet"
463,Analytics Specialist,Razorpay,"Bangalore Urban, Karnataka, India",Associate,Analyst,Full-time,Financial Services
464,Data Cleansing Analyst,bp,"Pune, Maharashtra, India",Associate,Information Technology,Full-time,Oil and Gas
465,Group Planning Manager,Schbang,"Bengaluru, Karnataka, India",Director,Strategy/Planning and Research,Full-time,Advertising Services and Marketing Services
466,Quality Inspector,QIMA,"Chennai, Tamil Nadu, India",Mid-Senior level,Quality Assurance,Full-time,International Trade and Development
467,Key Accounts Manager,Zomato,"Ghaziabad, Uttar Pradesh, India",Entry level,Sales and Business Development,Full-time,"Technology, Information and Internet"
468,Manager Product - Denim,Aditya Birla Fashion and Retail Ltd.,"Bangalore Urban, Karnataka, India",Mid-Senior level,"Design, Management, and Other",Full-time,Retail Apparel and Fashion and Retail
469,Business Development Trainee,Procurabl,"Pune, Maharashtra, India",Internship,Manufacturing,Full-time,Industrial Machinery Manufacturing
470,Data Scientist,Stack Digital,"Bangalore Urban, Karnataka, India",Mid-Senior level,Engineering,Contract,IT Services and IT Consulting
471,,,,,,,
472,Data Coordinator,Medpace,"Navi Mumbai, Maharashtra, India",Entry level,Information Technology,Full-time,Pharmaceutical Manufacturing
473,Data Analyst III,Bristol Myers Squibb,"Hyderabad, Telangana, India",Mid-Senior level,Information Technology,Full-time,Pharmaceutical Manufacturing
474,Senior Business Analyst - CEO’s office (Data Analyst),Everstage,"Chennai, Tamil Nadu, India",Mid-Senior level,Other,Full-time,Software Development
475,Data Scientist - 3,Navi,"Bangalore Urban, Karnataka, India",Mid-Senior level,Engineering,Full-time,Financial Services
476,Market Research Team Lead,StaffRex Info Solutions,"Indore, Madhya Pradesh, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Staffing and Recruiting
477,Senior Analyst,LatentView Analytics,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
478,Geologist,avua,India,Not Applicable,"Engineering, Research, and Analyst",Full-time,"Oil and Gas and Oil, Gas, and Mining"
479,AI ML Developer-Python Programming,YO HR Consultancy,"Mumbai, Maharashtra, India",Associate,Engineering and Information Technology,Full-time,Business Consulting and Services
480,Quality Inspector,QIMA,"Vapi, Gujarat, India",Mid-Senior level,Quality Assurance,Full-time,International Trade and Development
481,Big data Developer,Careernet,"Pune, Maharashtra, India",Associate,Engineering and Information Technology,Full-time,Staffing and Recruiting
482,Compliance Specialist,AU SMALL FINANCE BANK,"Jaipur, Rajasthan, India",Mid-Senior level,Other,Full-time,Banking and Financial Services
483,Accountant,SyncUp,"Mumbai, Maharashtra, India",Associate,Accounting/Auditing and Finance,Full-time,Human Resources Services
484,Digital Marketing Intern,NuvoRetail,"Dwarka, Delhi, India",Internship,"Marketing, Art/Creative, and Design",Internship,Business Consulting and Services
485,Data Analyst - 2,SatSure,"Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Space Research and Technology
486,Data Scientist,HARMAN International,"Bengaluru, Karnataka, India",Associate,Engineering and Information Technology,Full-time,Computers and Electronics Manufacturing
487,AML Analyst,McLaren Strategic Solutions (MSS),"Bangalore Urban, Karnataka, India",Associate,Finance and Sales,Full-time,Business Consulting and Services
488,Data Engineer,i-Qode Digital Solutions Private Limited,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
489,Data Operations - Intern,Novo,"Gurgaon, Haryana, India",Internship,Information Technology,Internship,Financial Services
490,"Consultant- Diversity, Equity and Inclusion",Godrej Agrovet Limited,"Mumbai, Maharashtra, India",Associate,Human Resources,Contract,Manufacturing and Farming
491,Manager Analytics,Epsilon India,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Information Services
492,TSM - Urban,airtel,"Punjab, India",Not Applicable,Other,Full-time,Telecommunications
493,AVP-Data Science,EXL,"Gurugram, Haryana, India",Mid-Senior level,"Information Technology, Consulting, and Strategy/Planning",Full-time,"IT Services and IT Consulting, Banking, and Investment Banking"
494,Analyst,Lowe's India,"Bengaluru, Karnataka, India",Entry level,Business Development and Sales,Full-time,Retail
495,Data Scientist,HARMAN International,"Bengaluru, Karnataka, India",Associate,Engineering and Information Technology,Full-time,Computers and Electronics Manufacturing
496,Data Engineer,i-Qode Digital Solutions Private Limited,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
497,AML Analyst,McLaren Strategic Solutions (MSS),"Bangalore Urban, Karnataka, India",Associate,Finance and Sales,Full-time,Business Consulting and Services
498,Data Operations - Intern,Novo,"Gurgaon, Haryana, India",Internship,Information Technology,Internship,Financial Services
499,"Consultant- Diversity, Equity and Inclusion",Godrej Agrovet Limited,"Mumbai, Maharashtra, India",Associate,Human Resources,Contract,Manufacturing and Farming
500,Manager Analytics,Epsilon India,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Information Services
501,TSM - Urban,airtel,"Punjab, India",Not Applicable,Other,Full-time,Telecommunications
502,AVP-Data Science,EXL,"Gurugram, Haryana, India",Mid-Senior level,"Information Technology, Consulting, and Strategy/Planning",Full-time,"IT Services and IT Consulting, Banking, and Investment Banking"
503,Accountant Assistant,UPTITUDE,"Gurugram, Haryana, India",Associate,Administrative,Full-time,IT Services and IT Consulting
504,Analyst,Lowe's India,"Bengaluru, Karnataka, India",Entry level,Business Development and Sales,Full-time,Retail
505,Data Analyst - Associate Data Analyst / Data Analyst,ISG (Information Services Group),"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,Information Services
506,Data Entry Virtuoso,Kelp,"Mumbai, Maharashtra, India",Entry level,Administrative,Full-time,Software Development
507,Data Scientist,NetApp,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting
508,Data Entry Officer (Production Accountant),JewelsHire,"Mumbai, Maharashtra, India",Entry level,Production,Full-time,Retail Luxury Goods and Jewelry
509,Senior Data Scientist,Foundation AI,"Hyderabad, Telangana, India",Mid-Senior level,Engineering and Information Technology,Full-time,Software Development
510,Data Scientist,Qualys,"Pune, Maharashtra, India",Entry level,Engineering and Information Technology,Full-time,Computer and Network Security
511,Interesting Job Opportunity: TransOrg Analytics - Data Scientist - R/Python/SQL,TransOrg Analytics,"Mumbai, Maharashtra, India",Entry level,Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Technology, Information and Media"
512,"Assistant Manager – Health Safety, Security & Environment (HSSE)",TalentBox Labs,"Bengaluru, Karnataka, India",Mid-Senior level,Management and Manufacturing,Full-time,"Technology, Information and Internet"
513,"Talent Account Director, LinkedIn Talent Solutions",LinkedIn,"Chennai, Tamil Nadu, India",Not Applicable,Sales,Full-time,"Technology, Information and Internet"
514,Product Manager,Curately.ai,India,Mid-Senior level,Product Management,Full-time,Software Development
515,Data Engineer,Lera Technologies,"Pune, Maharashtra, India",Mid-Senior level,Engineering,Full-time,"Technology, Information and Media"
516,Head of HR - India,Uplift People Consulting,"Delhi Cantonment, Delhi, India",Director,Human Resources,Full-time,"Technology, Information and Internet"
517,Sales Manager I,Swiggy,"Delhi, Delhi, India",Mid-Senior level,Sales and Business Development,Full-time,"Technology, Information and Internet"
518,,,,,,,
519,Clinical Analyst,Milliman,"Gurgaon, Haryana, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Business Consulting and Services
520,Lead - Business Analytics & Intelligence,Zeno Health,"Bengaluru, Karnataka, India",Mid-Senior level,Analyst,Full-time,Retail
521,Data Scientist,Tata Consultancy Services,"Bengaluru, Karnataka, India",Mid-Senior level,"Analyst, Information Technology, and Engineering",Full-time,"IT Services and IT Consulting, IT System Data Services, and Software Development"
522,Investor Reporting Analyst,BSI Financial Services,"Gurugram, Haryana, India",Mid-Senior level,Strategy/Planning and Information Technology,Full-time,Financial Services
523,Data Scientist,avua,India,Not Applicable,Information Technology and Engineering,Full-time,Information Services and Engineering Services
524,Lead Generation,Super Scholar,"Mumbai, Maharashtra, India",Entry level,Sales and Business Development,Full-time,Education Administration Programs
525,Information Technology Support Specialist,AVASO Technology Solutions,"Aligarh, Uttar Pradesh, India",Associate,Information Technology,Part-time,IT Services and IT Consulting
526,HR Generalist,CertifyOS,India,Mid-Senior level,Human Resources,Full-time,Internet Publishing
527,Head of Data Science,Tietoevry,"Bengaluru, Karnataka, India",Director,Consulting and Strategy/Planning,Full-time,IT Services and IT Consulting
528,Marketing Research Specialist,Angel One,"Mumbai, Maharashtra, India",Associate,Marketing,Full-time,Financial Services
529,Executive Assistant to CEO,Acme Services,"Mumbai, Maharashtra, India",Mid-Senior level,Administrative,Full-time,Pharmaceutical Manufacturing
530,"Data Analytics Administrator, Support Operations",QAD,"Mumbai, Maharashtra, India",Associate,Engineering,Full-time,Software Development
531,Intern - Problem Setter for ML,Interview Kickstart,India,Internship,Engineering,Full-time,Professional Training and Coaching
532,Process Advisor [T500-10427],FedEx ACC,"Hyderabad, Telangana, India",Mid-Senior level,Information Technology and Engineering,Full-time,"Transportation, Logistics, Supply Chain and Storage"
533,Data Analytics - Ethics & Compliance,bp,"Pune, Maharashtra, India",Associate,Information Technology,Full-time,Oil and Gas
534,Business Operations Specialist,Crest Data Systems,"Ahmedabad, Gujarat, India",Mid-Senior level,"Sales, Business Development, and Customer Service",Full-time,"IT Services and IT Consulting, IT System Data Services, and IT System Custom Software Development"
535,Business Strategy Analyst,Menschen Consulting Pvt. Ltd.,"Aurangabad, Maharashtra, India",Associate,Consulting and Analyst,Full-time,Agricultural Chemical Manufacturing
536,Associate Product Manager - Remote,Sprinto,"Bengaluru, Karnataka, India",Not Applicable,Product Management and Marketing,Full-time,Software Development
537,Collections - Junior Manager -- Nagpur,Paytm,"Nagpur, Maharashtra, India",Not Applicable,Accounting/Auditing and Finance,Full-time,"Transportation, Logistics, Supply Chain and Storage"
538,Data Architect,"Tata Technologies Limited, Pune","Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Automation Machinery Manufacturing
539,Jr. Data & Analytics Engineer (India Remote),WCG,"Karnataka, India",Mid-Senior level,Information Technology,Full-time,Biotechnology Research and Pharmaceutical Manufacturing
540,"Project Manager / Delivery Manager, Data & Analytics","Spruce InfoTech, Inc","Hyderabad, Telangana, India",Mid-Senior level,Project Management and Information Technology,Full-time,IT Services and IT Consulting
541,Jr. Data & Analytics Engineer (India Remote),WCG,"Karnataka, India",Mid-Senior level,Information Technology,Full-time,Biotechnology Research and Pharmaceutical Manufacturing
542,"Project Manager / Delivery Manager, Data & Analytics","Spruce InfoTech, Inc","Hyderabad, Telangana, India",Mid-Senior level,Project Management and Information Technology,Full-time,IT Services and IT Consulting
543,AI ML Engineer,HighPoints Technologies India (P) Ltd,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Contract,Staffing and Recruiting
544,Manager of Program Innovation*,The Bail Project,"Data, Haryana, India",Entry level,Project Management and Information Technology,Full-time,Non-profit Organizations
545,ML Engineer_Varnita/Simran,CodersBrain,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting
546,Associate Product Manager - Remote,Sprinto,"Bengaluru, Karnataka, India",Not Applicable,Product Management and Marketing,Full-time,Software Development
547,Research Consultant - Modeling and Meta-Analysis,OPEN Health HEOR & Market Access,"Mumbai, Maharashtra, India",Mid-Senior level,"Science, Consulting, and Analyst",Full-time,Pharmaceutical Manufacturing
548,Service Desk Analyst,YASH Technologies,"Noida, Uttar Pradesh, India",Associate,Information Technology,Full-time,IT Services and IT Consulting
549,Data Scientist,Tata Consultancy Services,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
550,Analytics Consultant,Cargill,"Bengaluru, Karnataka, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,"Food and Beverage Services, Chemical Manufacturing, and Food and Beverage Manufacturing"
551,Content Writer - Intern,Hevo Data,"Bengaluru, Karnataka, India",Internship,"Marketing, Research, and Writing/Editing",Internship,Software Development
552,Strategy Associate,Levrara Consulting Group,"Mumbai, Maharashtra, India",Entry level,Finance,Full-time,"Banking, Financial Services, and Investment Banking"
553,,,,,,,
554,Performance Marketing Executive,FashionTV India,"Mumbai, Maharashtra, India",Associate,Marketing and Sales,Full-time,Broadcast Media Production and Distribution
555,Leadership Role - Technology/Analytics (Talent Pool),Talent Socio(We're Hiring!!),"Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Part-time,"Software Development and Technology, Information and Internet"
556,Front End Developer,Reveal HealthTech,"Bengaluru, Karnataka, India",Entry level,Engineering,Full-time,"Technology, Information and Internet"
557,Data Analyst,S&P Global,"Hyderabad, Telangana, India",Not Applicable,Information Technology,Full-time,Financial Services
558,Experienced Data Scientist,Volvo Group,"Bengaluru, Karnataka, India",Not Applicable,"Science, Analyst, and Information Technology",Full-time,Motor Vehicle Manufacturing
559,Account Executive -North America / United States,Hevo Data,"Bengaluru, Karnataka, India",Mid-Senior level,Sales,Full-time,IT Services and IT Consulting and Software Development
560,Risk Analyst – Commercial Assets (RCU),Kotak Mahindra Bank,"Mumbai, Maharashtra, India",Mid-Senior level,Analyst,Full-time,Banking and Financial Services
561,,,,,,,
562,Power BI/ SQL Developer,IndusInd Bank,"Gurugram, Haryana, India",Mid-Senior level,Analyst,Full-time,Banking and Financial Services
563,Jr. Backend Developer,Neotas,"Pune, Maharashtra, India",Entry level,Information Technology,Full-time,"Technology, Information and Media"
564,HR and Placement Assistant,Growskillit,"Bengaluru, Karnataka, India",Executive,Human Resources,Full-time,Education
565,Lead Data Analytics,IndiGo (InterGlobe Aviation Ltd),"Gurgaon, Haryana, India",Mid-Senior level,Information Technology,Full-time,Airlines and Aviation
566,Associate - Sales Operations,Freshworks,"Chennai, Tamil Nadu, India",Associate,Accounting/Auditing,Full-time,Software Development
567,Technology Data and Reporting Analyst,EY,"Gurugram, Haryana, India",Mid-Senior level,Information Technology,Full-time,Professional Services
568,Pyspark,Teralanx Solutions,"Chennai, Tamil Nadu, India",Not Applicable,Other,Full-time,Staffing and Recruiting
569,TSM-Prepaid-Eluru - Vizag,airtel,"Andhra Pradesh, India",Not Applicable,Other,Full-time,Telecommunications
570,Data Engineer,First Soft Solutions LLC,"Chennai, Tamil Nadu, India",Entry level,Information Technology,Full-time,IT Services and IT Consulting
571,Experienced Data Scientist,Volvo Group,"Bengaluru, Karnataka, India",Not Applicable,"Science, Analyst, and Information Technology",Full-time,Motor Vehicle Manufacturing
572,Data Scientist,Head Digital Works,"Hyderabad, Telangana, India",Not Applicable,Engineering and Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage"
573,"Business Analyst_5+ years_ immediate hiring_ Location (Gurgaon, Pune)",EXL,"Gurugram, Haryana, India",Mid-Senior level,Analyst,Full-time,Banking
574,Data Analyst L4,Elevate K-12,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,E-Learning Providers
575,Analyst,Archipelago,"Delhi, India",Associate,Information Technology and Engineering,Full-time,Software Development
576,Data Specialist,Synechron,"Bengaluru, Karnataka, India",Mid-Senior level,Finance,Full-time,IT Services and IT Consulting
577,Sr. Data Scientist,Awign Expert,"Mumbai, Maharashtra, India",Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
578,Manager/Senior Manager - Data Science,Blend,"Hyderabad, Telangana, India",Mid-Senior level,Information Technology and Consulting,Full-time,"IT Services and IT Consulting, Software Development, and Business Consulting and Services"
579,Assistant Category Manager,32nd,"Gurugram, Haryana, India",Mid-Senior level,"Sales, Strategy/Planning, and Purchasing",Full-time,"Retail Apparel and Fashion, Furniture and Home Furnishings Manufacturing, and Retail Luxury Goods and Jewelry"
580,Python Data Scientist- Contractual,YO HR Consultancy,India,Mid-Senior level,Engineering and Information Technology,Contract,Business Consulting and Services
581,"Technician, Data Management",Mastercard,"Navi Mumbai, Maharashtra, India",Entry level,Information Technology,Full-time,"IT Services and IT Consulting, Technology, Information and Internet, and Financial Services"
582,"Business Analyst_5+ years_ immediate hiring_ Location (Gurgaon, Pune)",EXL,"Gurugram, Haryana, India",Mid-Senior level,Analyst and Business Development,Full-time,Banking
583,Human Resources Analyst,Group Bayport,"Ahmedabad, Gujarat, India",Associate,Human Resources and Analyst,Full-time,IT Services and IT Consulting and Printing Services
584,MIS Executive,EngageMyTalent HR Solutions,Greater Kolkata Area,Mid-Senior level,Management,Full-time,Accounting
585,"Business Analyst_5+ years_ immediate hiring_ Location (Gurgaon, Pune)",EXL,"Gurugram, Haryana, India",Mid-Senior level,Analyst and Business Development,Full-time,Banking
586,Human Resources Analyst,Group Bayport,"Ahmedabad, Gujarat, India",Associate,Human Resources and Analyst,Full-time,IT Services and IT Consulting and Printing Services
587,MIS Executive,EngageMyTalent HR Solutions,Greater Kolkata Area,Mid-Senior level,Management,Full-time,Accounting
588,Area Manager,Amazon,"Nagpur, Maharashtra, India",Mid-Senior level,"Management, Distribution, and Supply Chain",Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet"
589,Economist,People Realm Recruitment Services Private Limited,"Gurugram, Haryana, India",Associate,Research,Full-time,"Financial Services, Investment Banking, and Investment Management"
590,"Product Manager, Personalization Data Platform",Google,"Bengaluru, Karnataka, India",Not Applicable,Product Management and Engineering,Full-time,"Information Services and Technology, Information and Internet"
591,Analytics Manager,Jellyfish,"Mumbai, Maharashtra, India",Associate,Analyst and Advertising,Full-time,Advertising Services and Public Relations and Communications Services
592,Customer Experience Manager,Tata Consultancy Services,"Bengaluru, Karnataka, India",Associate,"Information Technology, Customer Service, and Health Care Provider",Full-time,"Retail Pharmacies, Retail, and Outsourcing and Offshoring Consulting"
593,"Principal Product Manager, Data and Analytics Platform",Opendoor,"Hyderabad, Telangana, India",Mid-Senior level,Product Management,Full-time,Real Estate
594,Python Developer,Whacked Out ® Media Pte. Ltd.,"Hyderabad, Telangana, India",Mid-Senior level,Product Management,Full-time,Artists and Writers
595,Data Analyst,TELUS International India,India,Associate,Information Technology,Full-time,IT Services and IT Consulting
596,Customer Success Manager - Mumbai,Seclore,"Mumbai, Maharashtra, India",Associate,Information Technology,Full-time,IT Services and IT Consulting
597,Associate-Educator Operations,Emeritus,India,Associate,Education and Other,Full-time,Higher Education
598,Senior Applied Data Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Other,Full-time,Retail
599,"Product Manager, Looker",Google,"Hyderabad, Telangana, India",Not Applicable,Product Management and Engineering,Full-time,"Information Services and Technology, Information and Internet"
600,Medical Transcriptionist,Ecotown diagnostics Pvt Ltd,"Bangalore Urban, Karnataka, India",Executive,Customer Service,Full-time,Hospitals and Health Care
601,Head - Data Science & Lending Analytics (Tier1/2),IndusInd Bank,"Gurugram, Haryana, India",Director,Analyst,Full-time,Banking
602,HR Compliance Associate,Indian School of Business,"Mohali district, Punjab, India",Associate,Human Resources,Full-time,Administrative and Support Services
603,Technology Data and Reporting Analyst,EY,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Professional Services
604,,,,,,,
605,,,,,,,
606,DATA ENGI NEER,IQuest Solutions Corporation,"Hyderabad, Telangana, India",Entry level,Information Technology,Full-time,IT Services and IT Consulting
607,,,,,,,
608,Technology Data and Reporting Analyst,EY,"Gurugram, Haryana, India",Mid-Senior level,Information Technology,Full-time,Professional Services
609,Operations Executive,Tipsons Group,"Ahmedabad, Gujarat, India",Entry level,Finance,Full-time,Banking and Financial Services
610,Senior Business Analyst,"Amzur Technologies, Inc",India,Associate,"Research, Analyst, and Information Technology",Full-time,Software Development
611,"Informatica Admin, Data Governance, Data Marketplace",LTIMindtree,"Tamil Nadu, India",Mid-Senior level,"Engineering, Business Development, and Information Technology",Full-time,"IT Services and IT Consulting, IT System Data Services, and Staffing and Recruiting"
612,Business Intelligence Developer,GradRight Inc.,"Hyderabad, Telangana, India",Mid-Senior level,Analyst,Full-time,Higher Education
613,,,,,,,
614,Director of Data and Machine Learning,Suki,"Bengaluru, Karnataka, India",Director,Engineering and Information Technology,Full-time,Software Development
615,Data Visualization Consultant - SQL/Alteryx/Tableau,Zelus India,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics"
616,Senior Manager Business Analysis,DRiV Incorporated,"Gurugram, Haryana, India",Mid-Senior level,Analyst and Consulting,Full-time,Automation Machinery Manufacturing
617,Consultant - Non IT (WFH),LakshHR,India,Mid-Senior level,Human Resources,Full-time,Staffing and Recruiting and Human Resources Services
618,IT Support Analyst,Colt Data Centre Services,"Mumbai, Maharashtra, India",Associate,Engineering,Full-time,IT Services and IT Consulting and IT System Data Services
619,Marketing Executive,Sid's Farm,"Bengaluru, Karnataka, India",Entry level,Marketing,Full-time,Dairy
620,Digital Marketing - Assistant Manager,NuvoRetail,"Dwarka, Delhi, India",Mid-Senior level,"Marketing, Art/Creative, and Design",Full-time,Business Consulting and Services
621,Data/Business Analyst,Capstone,"Mumbai, Maharashtra, India",Associate,"General Business, Analyst, and Consulting",Full-time,"Strategic Management Services, Investment Advice, and Financial Services"
622,Data Analyst - CSA Operations,Guidewire Software,"Bengaluru, Karnataka, India",Associate,Information Technology,Full-time,Software Development
623,Data Science Intern,Yum! Digital & Tech India,"Gurugram, Haryana, India",Internship,"Information Technology, Other, and Science",Internship,"IT Services and IT Consulting, Software Development, and Data Infrastructure and Analytics"
624,Data Analyst,Alp Consulting Ltd.,"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,Staffing and Recruiting
625,"Assistant Manager, Data Analyst, Procurement",Unilever,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,"Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing"
626,Associate Program Manager,Bhanzu,"Bengaluru, Karnataka, India",Associate,Project Management,Full-time,Education
627,Manager-Applied Data Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Other,Full-time,Retail
628,Technology Data and Reporting Analyst,EY,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Professional Services
629,Analytics and Modeling Analyst,Accenture in India,"Bengaluru, Karnataka, India",Entry level,Research and Strategy/Planning,Full-time,IT Services and IT Consulting
630,Web Researcher,ProPlus Data,"Pune, Maharashtra, India",Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,IT Services and IT Consulting and Information Services
631,Associate - Data Management and Reporting (Operations),Morgan Stanley,"Mumbai, Maharashtra, India",Not Applicable,Information Technology,Full-time,"Financial Services, Investment Banking, and Investment Management"
632,Associate Analyst,Wipro,"Bengaluru, Karnataka, India",Not Applicable,Business Development and Sales,Full-time,IT Services and IT Consulting
